order_id,customer_id,product_id,purchase_amount,is_reordered,purchased_on,event_time
O25,C9140,P9456,45.17,0,2020-05-28 04:56:30,2021-07-06T15:40:51.669Z
O42,C6039,P1242,67.61,1,2020-05-12 19:49:12,2021-07-06T15:40:51.671Z
O48,C108,P10755,39.29,1,2020-05-16 01:38:29,2021-07-06T15:40:51.672Z
O49,C2945,P5039,100.35,1,2020-05-28 12:56:29,2021-07-06T15:40:51.672Z
O50,C2573,P14483,56.85,1,2020-05-20 10:59:36,2021-07-06T15:40:51.672Z
O56,C753,P2521,66.37,0,2020-05-28 10:38:32,2021-07-06T15:40:51.672Z
O73,C8499,P9601,73.31,1,2020-05-16 16:49:51,2021-07-06T15:40:51.673Z
O113,C5076,P16145,63.14,1,2020-05-02 05:43:39,2021-07-06T15:40:51.676Z
O133,C9062,P16134,83.0,1,2020-05-30 04:06:25,2021-07-06T15:40:51.677Z
O156,C5507,P5968,59.79,1,2020-05-17 17:12:30,2021-07-06T15:40:51.678Z
O179,C1210,P14998,60.97,1,2020-05-10 02:44:49,2021-07-06T15:40:51.680Z
O201,C5144,P4758,18.57,0,2020-05-06 06:46:51,2021-07-06T15:40:51.681Z
O258,C3732,P10387,90.69,1,2020-05-15 05:35:22,2021-07-06T15:40:51.685Z
O271,C4376,P800,45.46,1,2020-05-18 18:01:55,2021-07-06T15:40:51.685Z
O331,C5711,P15576,65.16,1,2020-05-15 23:23:03,2021-07-06T15:40:51.690Z
O338,C9579,P7274,43.01,0,2020-05-06 14:14:08,2021-07-06T15:40:51.690Z
O343,C8137,P7153,84.53,1,2020-05-08 15:13:36,2021-07-06T15:40:51.691Z
O364,C6001,P3208,89.24,1,2020-05-18 01:52:35,2021-07-06T15:40:51.692Z
O365,C3254,P4802,98.11,1,2020-05-16 08:10:59,2021-07-06T15:40:51.692Z
O394,C9299,P14240,44.94,0,2020-05-30 02:04:08,2021-07-06T15:40:51.694Z
O402,C9616,P6023,14.17,0,2020-05-28 12:05:00,2021-07-06T15:40:51.694Z
O417,C8944,P15856,98.4,1,2020-05-31 03:49:44,2021-07-06T15:40:51.695Z
O460,C9175,P11555,6.43,1,2020-05-24 07:12:38,2021-07-06T15:40:51.698Z
O468,C5660,P11683,54.29,0,2020-05-20 18:05:37,2021-07-06T15:40:51.699Z
O510,C9403,P10356,99.19,1,2020-05-26 01:14:19,2021-07-06T15:40:51.701Z
O542,C6402,P4972,65.74,1,2020-05-31 13:00:06,2021-07-06T15:40:51.703Z
O544,C8369,P12992,42.78,1,2020-05-07 12:49:25,2021-07-06T15:40:51.703Z
O548,C5767,P16941,33.61,0,2020-05-06 08:46:29,2021-07-06T15:40:51.704Z
O616,C7536,P10346,51.76,0,2020-05-07 13:16:18,2021-07-06T15:40:51.708Z
O628,C9890,P14652,7.19,1,2020-05-30 21:04:09,2021-07-06T15:40:51.709Z
O629,C6770,P5130,2.7,1,2020-05-15 20:20:18,2021-07-06T15:40:51.709Z
O636,C4967,P6675,89.62,1,2020-05-07 02:07:06,2021-07-06T15:40:51.709Z
O643,C765,P3583,28.81,0,2020-05-13 14:25:45,2021-07-06T15:40:51.710Z
O656,C6346,P11133,83.34,1,2020-05-23 00:51:32,2021-07-06T15:40:51.711Z
O668,C6350,P838,5.27,1,2020-05-31 02:01:45,2021-07-06T15:40:51.711Z
O679,C7758,P3456,85.21,0,2020-05-09 11:43:52,2021-07-06T15:40:51.758Z
O696,C8356,P3711,34.09,0,2020-05-14 12:52:20,2021-07-06T15:40:51.759Z
O724,C7342,P12928,64.9,1,2020-05-12 06:12:43,2021-07-06T15:40:51.761Z
O739,C7108,P3195,74.43,1,2020-05-21 05:34:07,2021-07-06T15:40:51.762Z
O755,C5448,P5868,65.04,0,2020-05-05 11:05:19,2021-07-06T15:40:51.762Z
O794,C2660,P3184,34.81,1,2020-05-25 08:29:18,2021-07-06T15:40:51.765Z
O803,C8963,P8166,45.14,1,2020-05-19 11:18:07,2021-07-06T15:40:51.765Z
O825,C8631,P5533,86.56,1,2020-05-26 23:56:12,2021-07-06T15:40:51.767Z
O834,C2321,P3755,46.35,1,2020-05-27 23:17:09,2021-07-06T15:40:51.767Z
O837,C5370,P5270,28.63,0,2020-05-19 03:42:56,2021-07-06T15:40:51.768Z
O878,C7852,P7119,91.91,1,2020-05-29 14:57:15,2021-07-06T15:40:51.770Z
O887,C822,P5158,50.71,1,2020-05-18 13:06:46,2021-07-06T15:40:51.771Z
O897,C5915,P10516,13.19,1,2020-05-03 10:35:34,2021-07-06T15:40:51.771Z
O923,C2547,P5959,16.68,0,2020-05-24 01:42:27,2021-07-06T15:40:51.773Z
O952,C8548,P10652,81.98,1,2020-05-02 16:55:47,2021-07-06T15:40:51.775Z
O959,C7265,P15559,82.81,0,2020-05-16 08:33:15,2021-07-06T15:40:51.775Z
O981,C619,P1937,83.73,1,2020-05-03 10:44:44,2021-07-06T15:40:51.776Z
O990,C6086,P2853,17.94,1,2020-05-25 20:52:48,2021-07-06T15:40:51.777Z
O1017,C9375,P11955,71.12,0,2020-05-13 00:10:03,2021-07-06T15:40:51.779Z
O1037,C4402,P2487,72.47,1,2020-05-30 06:39:42,2021-07-06T15:40:51.781Z
O1058,C3908,P8136,91.6,0,2020-05-09 22:28:59,2021-07-06T15:40:51.783Z
O1068,C5792,P13657,95.53,1,2020-05-04 06:36:21,2021-07-06T15:40:51.783Z
O1084,C9273,P15193,59.19,1,2020-05-03 10:17:11,2021-07-06T15:40:51.784Z
O1093,C9388,P6269,95.34,0,2020-05-23 01:29:44,2021-07-06T15:40:51.785Z
O1099,C1558,P7564,56.68,0,2020-05-29 03:44:59,2021-07-06T15:40:51.785Z
O1119,C4051,P7653,40.01,1,2020-05-14 21:14:08,2021-07-06T15:40:51.786Z
O1159,C829,P14722,41.31,1,2020-05-16 11:12:07,2021-07-06T15:40:51.789Z
O1167,C703,P15757,64.33,1,2020-05-28 11:09:05,2021-07-06T15:40:51.789Z
O1170,C164,P12098,94.66,1,2020-05-30 02:45:47,2021-07-06T15:40:51.790Z
O1175,C4033,P14985,99.09,1,2020-05-04 17:35:26,2021-07-06T15:40:51.790Z
O1186,C3426,P4020,63.76,1,2020-05-04 16:22:47,2021-07-06T15:40:51.791Z
O1200,C357,P16149,29.92,1,2020-05-28 08:31:13,2021-07-06T15:40:51.791Z
O1226,C1633,P8397,18.81,0,2020-05-05 17:11:26,2021-07-06T15:40:51.793Z
O1242,C4145,P6321,78.23,0,2020-05-01 11:36:04,2021-07-06T15:40:51.794Z
O1243,C4477,P7777,89.0,0,2020-05-21 08:29:11,2021-07-06T15:40:51.794Z
O1254,C4363,P8092,1.2,1,2020-05-05 08:30:20,2021-07-06T15:40:51.795Z
O1255,C7472,P13670,62.88,0,2020-05-11 22:18:36,2021-07-06T15:40:51.795Z
O1277,C1843,P3566,99.87,1,2020-05-06 00:44:28,2021-07-06T15:40:51.796Z
O1279,C4831,P6045,80.95,1,2020-05-13 21:35:23,2021-07-06T15:40:51.796Z
O1294,C820,P5523,45.76,1,2020-05-23 14:38:41,2021-07-06T15:40:51.797Z
O1312,C673,P16039,38.7,1,2020-05-21 04:23:04,2021-07-06T15:40:51.798Z
O1313,C8793,P15539,101.84,1,2020-05-12 14:37:23,2021-07-06T15:40:51.798Z
O1318,C4719,P5928,74.95,1,2020-05-12 11:19:01,2021-07-06T15:40:51.799Z
O1329,C6442,P7100,72.05,1,2020-05-07 09:54:06,2021-07-06T15:40:51.799Z
O1353,C6080,P14662,9.62,1,2020-05-13 19:57:32,2021-07-06T15:40:51.801Z
O1419,C8182,P3044,54.38,1,2020-05-25 19:42:49,2021-07-06T15:40:51.805Z
O1430,C4971,P4425,100.62,0,2020-05-26 02:01:18,2021-07-06T15:40:51.806Z
O1451,C7027,P10822,30.64,1,2020-05-08 11:37:03,2021-07-06T15:40:51.807Z
O1480,C8204,P5404,66.18,1,2020-05-23 06:19:17,2021-07-06T15:40:51.809Z
O1490,C3110,P6392,57.37,0,2020-05-09 08:28:00,2021-07-06T15:40:51.809Z
O1497,C6802,P16859,43.08,1,2020-05-10 18:32:46,2021-07-06T15:40:51.810Z
O1511,C1454,P7167,74.43,0,2020-05-11 00:57:32,2021-07-06T15:40:51.811Z
O1637,C461,P9110,33.28,0,2020-05-27 00:24:00,2021-07-06T15:40:51.818Z
O1649,C3090,P7064,51.33,0,2020-05-14 20:29:31,2021-07-06T15:40:51.819Z
O1686,C2593,P6956,14.28,0,2020-05-22 05:32:33,2021-07-06T15:40:51.822Z
O1727,C2422,P14167,45.99,1,2020-05-07 02:24:47,2021-07-06T15:40:51.824Z
O1734,C6602,P7038,101.77,1,2020-05-25 15:37:57,2021-07-06T15:40:51.825Z
O1742,C8329,P16477,72.7,1,2020-05-13 01:45:30,2021-07-06T15:40:51.825Z
O1835,C9067,P6307,3.29,1,2020-05-10 02:05:56,2021-07-06T15:40:51.831Z
O1843,C9609,P6814,11.0,1,2020-05-27 21:06:46,2021-07-06T15:40:51.831Z
O1847,C3474,P9262,57.96,1,2020-05-30 02:15:54,2021-07-06T15:40:51.832Z
O1859,C1216,P16046,24.0,1,2020-05-22 00:28:48,2021-07-06T15:40:51.833Z
O1875,C1938,P12031,51.7,1,2020-05-11 18:40:38,2021-07-06T15:40:51.834Z
O1916,C5481,P12940,65.9,1,2020-05-17 04:56:45,2021-07-06T15:40:51.836Z
O1920,C81,P10210,49.91,1,2020-05-19 19:54:16,2021-07-06T15:40:51.836Z
O1933,C4011,P13777,18.99,1,2020-05-04 15:00:47,2021-07-06T15:40:51.837Z
O1940,C420,P13953,56.77,1,2020-05-01 21:36:49,2021-07-06T15:40:51.838Z
O1949,C8783,P15497,27.45,0,2020-05-24 19:55:55,2021-07-06T15:40:51.838Z
O2100,C3862,P4124,12.75,0,2020-05-17 11:49:35,2021-07-06T15:40:51.847Z
O2124,C8174,P7914,26.27,1,2020-05-08 03:39:12,2021-07-06T15:40:51.849Z
O2181,C9577,P13507,55.71,0,2020-05-20 15:09:23,2021-07-06T15:40:51.852Z
O2216,C7032,P10576,94.88,1,2020-05-03 09:45:36,2021-07-06T15:40:51.854Z
O2219,C9211,P8200,65.19,1,2020-05-30 23:36:52,2021-07-06T15:40:51.855Z
O2226,C147,P11942,83.19,0,2020-05-21 19:34:01,2021-07-06T15:40:51.855Z
O2230,C428,P8267,83.21,0,2020-05-11 11:16:50,2021-07-06T15:40:51.855Z
O2240,C3252,P13162,43.6,1,2020-05-28 18:15:25,2021-07-06T15:40:51.856Z
O2258,C1963,P4333,16.94,1,2020-05-29 20:38:46,2021-07-06T15:40:51.857Z
O2268,C6647,P9070,52.61,1,2020-05-09 09:10:19,2021-07-06T15:40:51.858Z
O2291,C6096,P6873,15.12,1,2020-05-30 09:30:56,2021-07-06T15:40:51.859Z
O2326,C1166,P7756,77.13,0,2020-05-13 23:10:25,2021-07-06T15:40:51.861Z
O2333,C7918,P15658,26.45,1,2020-05-13 07:07:36,2021-07-06T15:40:51.862Z
O2338,C63,P13738,80.98,0,2020-05-21 19:42:14,2021-07-06T15:40:51.862Z
O2344,C4476,P10601,9.61,0,2020-05-01 18:45:17,2021-07-06T15:40:51.862Z
O2347,C4007,P7424,12.74,0,2020-05-28 17:20:00,2021-07-06T15:40:51.862Z
O2375,C3879,P16536,51.57,1,2020-05-26 07:24:30,2021-07-06T15:40:51.864Z
O2384,C7818,P3060,66.42,1,2020-05-21 08:44:32,2021-07-06T15:40:51.865Z
O2391,C4548,P3494,3.7,0,2020-05-24 23:52:23,2021-07-06T15:40:51.865Z
O2418,C8607,P5603,82.22,1,2020-05-12 20:24:24,2021-07-06T15:40:51.867Z
