order_id,customer_id,product_id,purchase_amount,is_reordered,purchased_on,event_time
O1,C5731,P16,93.26,1,2021-03-29 03:40:49,2021-07-06T15:40:51.668Z
O11,C2652,P6110,41.25,1,2021-03-23 20:58:49,2021-07-06T15:40:51.668Z
O26,C1858,P16667,69.03,1,2021-03-04 10:39:33,2021-07-06T15:40:51.669Z
O78,C7815,P12965,75.83,1,2021-03-30 07:07:14,2021-07-06T15:40:51.673Z
O79,C2796,P12531,77.26,0,2021-03-23 18:43:31,2021-07-06T15:40:51.674Z
O84,C8731,P8561,1.13,1,2021-03-07 05:35:05,2021-07-06T15:40:51.674Z
O114,C5053,P5584,23.69,1,2021-03-21 23:52:08,2021-07-06T15:40:51.676Z
O117,C1259,P16799,2.47,0,2021-03-28 22:37:46,2021-07-06T15:40:51.676Z
O119,C9375,P5316,55.16,0,2021-03-06 20:55:57,2021-07-06T15:40:51.676Z
O134,C959,P11090,22.47,1,2021-03-17 11:07:29,2021-07-06T15:40:51.677Z
O135,C9314,P14384,45.04,1,2021-03-06 02:15:54,2021-07-06T15:40:51.677Z
O147,C9516,P1776,56.31,0,2021-03-02 11:01:27,2021-07-06T15:40:51.678Z
O183,C1952,P11732,15.54,1,2021-03-29 07:34:57,2021-07-06T15:40:51.680Z
O207,C4832,P13376,61.96,1,2021-03-10 19:07:49,2021-07-06T15:40:51.681Z
O220,C9575,P8099,53.85,1,2021-03-09 22:56:49,2021-07-06T15:40:51.682Z
O227,C7296,P5290,57.72,1,2021-03-29 04:04:01,2021-07-06T15:40:51.683Z
O230,C9784,P11924,13.88,1,2021-03-15 21:33:05,2021-07-06T15:40:51.683Z
O265,C1632,P16972,8.9,0,2021-03-05 17:54:59,2021-07-06T15:40:51.685Z
O281,C3983,P10617,33.79,1,2021-03-09 06:24:21,2021-07-06T15:40:51.686Z
O288,C4402,P2244,6.91,0,2021-03-03 19:23:06,2021-07-06T15:40:51.686Z
O300,C9067,P11350,22.67,0,2021-03-29 22:10:00,2021-07-06T15:40:51.687Z
O301,C5683,P16973,86.34,1,2021-03-11 04:26:27,2021-07-06T15:40:51.687Z
O326,C127,P15606,51.68,1,2021-03-17 07:42:24,2021-07-06T15:40:51.690Z
O342,C3002,P9649,61.0,1,2021-03-11 04:06:52,2021-07-06T15:40:51.691Z
O375,C4597,P13148,21.94,1,2021-03-19 19:56:49,2021-07-06T15:40:51.693Z
O392,C8283,P502,78.71,1,2021-03-18 07:10:09,2021-07-06T15:40:51.694Z
O426,C7338,P12945,25.13,1,2021-03-23 10:22:09,2021-07-06T15:40:51.696Z
O444,C1364,P11557,56.39,1,2021-03-27 18:17:36,2021-07-06T15:40:51.697Z
O461,C6997,P14172,76.65,0,2021-03-09 07:18:44,2021-07-06T15:40:51.698Z
O465,C4530,P8507,34.82,1,2021-03-13 00:15:14,2021-07-06T15:40:51.698Z
O474,C3127,P7504,25.65,1,2021-03-02 15:05:27,2021-07-06T15:40:51.699Z
O491,C4419,P8155,78.14,1,2021-03-06 14:03:44,2021-07-06T15:40:51.700Z
