Web_ProspectID,LastCampaignActivity,PageViewsPerVisit,TotalTimeOnWebsite,TotalWebVisits,AttendedMarketingEvent,OrganicSearch,ViewedAdvertisement
5f974944-eee6-414f-8bd3-7c22697404ca,Event RSVP,6.342099362,102,7,DidNot,Y,Y
5e84c78f-6438-4d91-aa96-b492f7e91029,DownloadedMaterial,6.393732165,125,7,DidNot,Y,N
38fab8b5-fdbf-4171-b7e2-2a99355a425e,Event RSVP,5.477249709,126,10,DidNot,Y,N
cb9a6f52-a6b5-4be7-8743-9032a0d73884,DownloadedMaterial,7.073818254,138,14,DidNot,N,Y
43afcad1-5292-4bd4-9df8-1bfa688e301e,Open Email,5.099326251,92,17,DidNot,Y,Y
8062ca5f-295c-4769-a76b-ad98720c4432,Web Visit,8.732570244,155,10,DidNot,Y,Y
00a7d348-3bae-48ae-9cf2-ee55f717a68e,DownloadedMaterial,6.198450545,62,12,Attended,Y,Y
2a3d968b-9b7e-44c5-9270-2f432f3eec46,DownloadedMaterial,7.049605445,160,8,Attended,N,N
fbb7612b-8a24-4dff-b57d-9cd95cf14444,Open Email,4.18695378,99,9,DidNot,Y,Y
16143188-aaf7-415a-bb8c-4e80e906b41f,Web Visit,7.399385108,178,7,Attended,N,Y
45c9ecf6-d4de-48c6-840f-7cb8540c74e3,Open Email,5.047105963,135,9,DidNot,N,Y
0eff6d2a-3b40-4f9a-92aa-18225f1fd828,DownloadedMaterial,5.786710706,120,11,DidNot,N,Y
17f2d925-5fc2-4fdf-a574-11053c18c7c9,Event RSVP,8.485550235,122,10,Attended,N,N
a805568a-9da4-41c3-a8e8-1a721acfeb7c,Open Email,5.026509988,120,10,DidNot,Y,Y
c5109ca7-ed47-4840-8e64-fe1b96d13f41,Web Visit,6.252900461,165,7,DidNot,N,Y
a42f25de-69dd-438c-80d4-70de4de78407,DownloadedMaterial,6.016719131,156,7,DidNot,Y,Y
e2c34def-47ab-43a5-84be-504e880889e2,Open Email,6.385441509,109,6,Attended,Y,Y
23b8c811-7477-46f0-953b-343852a7aa06,Web Visit,6.030082067,95,6,DidNot,N,N
e76dc165-38e9-4341-9894-4365242acf80,Event RSVP,5.541070888,96,9,Attended,N,N
a57b541d-d9ea-46f3-8e2d-ce4b3687f305,DownloadedMaterial,7.990424648,148,10,DidNot,Y,Y
9c2841f7-1ea0-4292-820b-106bad2c885e,DownloadedMaterial,5.608791243,140,8,DidNot,N,Y
613fe455-d980-46d4-be32-ee72c1af66e8,Open Email,5.257838905,79,11,Attended,Y,N
ef465c6a-e045-4aae-b949-3649643a54f7,Web Visit,8.711591373,159,10,DidNot,Y,Y
491e6b2e-0891-4c18-87f8-3e8c0bb7014e,Web Visit,7.830743147,172,10,DidNot,Y,Y
8bd5048b-822a-49f4-9cd7-fc44a6f2d982,DownloadedMaterial,8.17647201,158,10,DidNot,Y,N
8caeaab1-bf04-40dd-a997-c6180a5c69b8,Web Visit,5.603398909,160,10,DidNot,Y,N
183233bf-40f2-4c50-8c09-730538eafc02,Web Visit,9.237368073,150,12,Attended,N,Y
1b861801-455c-43b7-a09a-628ec2c08137,DownloadedMaterial,6.056119743,121,10,Attended,N,Y
3e261806-9a11-4eac-913b-eec05b9ea061,Open Email,9.410878835,158,7,Attended,N,N
4ad24285-676d-45f9-a10a-f29c7b8460ac,Web Visit,6.050041403,83,13,DidNot,N,Y
10fe3dcc-77ec-4261-a4c9-d3db8eef17dc,Web Visit,6.593570115,183,14,DidNot,Y,Y
884c75ff-56f4-47d4-95a7-2b480099c95e,DownloadedMaterial,6.557375443,89,10,Attended,Y,Y
acfea3fd-e34a-4bb9-843c-4b165a0b55d5,Open Email,7.729392505,120,10,Attended,N,N
e1946e30-b153-4cb9-a8e5-35d7794ae355,Web Visit,5.215242133,67,15,Attended,Y,Y
23da9425-30f2-4735-b00f-dc8103d9c992,Event RSVP,5.169080607,78,11,Attended,N,N
b86f93eb-ec66-4859-91e3-599434766aaf,Event RSVP,8.333795175,170,9,DidNot,Y,N
