LeadSource,JobRole,ContactNotes,LeadProfile,UsedPromo,DoNotReachOut,Region,Converted,Lead_ProspectID
Digital Ad,Engineering,ContentPresentation,Large,NoPromo,FALSE,NAMER,0,5f974944-eee6-414f-8bd3-7c22697404ca
Digital Ad,HR,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,0,5e84c78f-6438-4d91-aa96-b492f7e91029
Event, Sales,FeatureRequest,Medium,NoPromo,TRUE,EMEA,0,38fab8b5-fdbf-4171-b7e2-2a99355a425e
Organic,Management,ContentPresentation,Large,NoPromo,FALSE,LATAM,0,cb9a6f52-a6b5-4be7-8743-9032a0d73884
Referral,Marketing,ContentPresentation,Large,UsedPromo,TRUE,EMEA,1,43afcad1-5292-4bd4-9df8-1bfa688e301e
Digital Ad, Sales,ContentPresentation,Small,UsedPromo,FALSE,APAC,1,8062ca5f-295c-4769-a76b-ad98720c4432
Referral,Finance,NeedsTraining,Medium,NoPromo,TRUE,LATAM,1,00a7d348-3bae-48ae-9cf2-ee55f717a68e
Event,HR,FeatureRequest,Small,NoPromo,FALSE,APAC,1,2a3d968b-9b7e-44c5-9270-2f432f3eec46
Event,Finance,NeedsTraining,Large,NoPromo,TRUE,NAMER,0,fbb7612b-8a24-4dff-b57d-9cd95cf14444
Event,Management,NeedsTraining,Small,UsedPromo,FALSE,APAC,1,16143188-aaf7-415a-bb8c-4e80e906b41f
Cold Uutbound,Finance,FeatureRequest,Medium,NoPromo,TRUE,NAMER,0,45c9ecf6-d4de-48c6-840f-7cb8540c74e3
Cold Uutbound,Operations,ContentPresentation,Large,UsedPromo,FALSE,LATAM,1,0eff6d2a-3b40-4f9a-92aa-18225f1fd828
Event,Marketing,NeedsCaseStudy,Small,NoPromo,FALSE,EMEA,1,17f2d925-5fc2-4fdf-a574-11053c18c7c9
Event,HR,ContentPresentation,Large,UsedPromo,TRUE,APAC,1,a805568a-9da4-41c3-a8e8-1a721acfeb7c
Referral,Engineering,FeatureRequest,Small,NoPromo,FALSE,NAMER,0,c5109ca7-ed47-4840-8e64-fe1b96d13f41
Digital Ad,Engineering,FeatureRequest,Medium,UsedPromo,FALSE,EMEA,0,a42f25de-69dd-438c-80d4-70de4de78407
Organic,Operations,NeedsCaseStudy,Medium,UsedPromo,TRUE,LATAM,0,e2c34def-47ab-43a5-84be-504e880889e2
Organic,Engineering,ContentPresentation,Large,NoPromo,TRUE,NAMER,0,23b8c811-7477-46f0-953b-343852a7aa06
Organic,Management,NeedsTraining,Medium,UsedPromo,FALSE,APAC,1,e76dc165-38e9-4341-9894-4365242acf80
Organic, Sales,NeedsCaseStudy,Medium,NoPromo,FALSE,NAMER,0,a57b541d-d9ea-46f3-8e2d-ce4b3687f305
Digital Ad,HR,NeedsTraining,Medium,UsedPromo,TRUE,NAMER,1,9c2841f7-1ea0-4292-820b-106bad2c885e
Organic,Operations,NeedsCaseStudy,Large,NoPromo,FALSE,LATAM,1,613fe455-d980-46d4-be32-ee72c1af66e8
Organic, Sales,NeedsCaseStudy,Small,UsedPromo,TRUE,NAMER,1,ef465c6a-e045-4aae-b949-3649643a54f7
Cold Uutbound,Operations,NeedsCaseStudy,Small,UsedPromo,TRUE,EMEA,1,491e6b2e-0891-4c18-87f8-3e8c0bb7014e
Referral, Sales,NeedsCaseStudy,Small,UsedPromo,FALSE,EMEA,1,8bd5048b-822a-49f4-9cd7-fc44a6f2d982
Digital Ad,Management,NeedsCaseStudy,Medium,UsedPromo,TRUE,EMEA,1,8caeaab1-bf04-40dd-a997-c6180a5c69b8
