customer_id,sex,is_married,event_time,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-plus,n_days_active
C1,1,1,2021-07-06T15:40:35.791Z,0,0,0,1,0,0,0.5219178082191781
C2,0,1,2021-07-06T15:40:35.797Z,1,0,0,0,0,0,0.1424657534246575
C3,0,1,2021-07-06T15:40:35.802Z,0,0,0,0,1,0,0.14109589041095894
C4,0,1,2021-07-06T15:40:35.806Z,0,0,0,1,0,0,0.8876712328767122
C5,0,1,2021-07-06T15:40:35.813Z,0,1,0,0,0,0,0.26575342465753427
C6,0,0,2021-07-06T15:40:35.819Z,1,0,0,0,0,0,0.8082191780821917
C7,1,1,2021-07-06T15:40:35.825Z,0,0,0,0,1,0,0.30205479452054795
C8,1,0,2021-07-06T15:40:35.833Z,0,0,0,0,0,1,0.4835616438356164
C9,0,0,2021-07-06T15:40:35.835Z,0,0,0,0,0,1,0.13013698630136983
C10,1,1,2021-07-06T15:40:35.836Z,0,0,0,1,0,0,0.397945205479452
C11,0,0,2021-07-06T15:40:35.842Z,0,0,0,0,1,0,0.2280821917808219
C12,1,1,2021-07-06T15:40:35.845Z,1,0,0,0,0,0,0.9904109589041097
C13,1,0,2021-07-06T15:40:35.850Z,0,1,0,0,0,0,0.9568493150684931
C14,0,0,2021-07-06T15:40:35.852Z,0,1,0,0,0,0,0.21232876712328763
C15,1,1,2021-07-06T15:40:35.856Z,0,0,0,0,1,0,0.4924657534246575
C16,1,0,2021-07-06T15:40:35.859Z,0,0,0,0,0,1,0.8260273972602739
C17,1,0,2021-07-06T15:40:35.864Z,0,0,0,1,0,0,0.9431506849315068
C18,1,0,2021-07-06T15:40:35.868Z,0,0,1,0,0,0,0.726027397260274
C19,0,1,2021-07-06T15:40:35.872Z,0,1,0,0,0,0,0.3780821917808219
C20,0,0,2021-07-06T15:40:35.876Z,1,0,0,0,0,0,0.5123287671232877
C21,1,1,2021-07-06T15:40:35.883Z,0,0,0,0,0,1,0.8095890410958904
C22,1,0,2021-07-06T15:40:35.887Z,1,0,0,0,0,0,0.23287671232876705
C23,1,0,2021-07-06T15:40:35.891Z,0,0,0,0,1,0,0.7157534246575343
C24,0,1,2021-07-06T15:40:35.894Z,1,0,0,0,0,0,0.11849315068493149
C25,1,0,2021-07-06T15:40:35.900Z,1,0,0,0,0,0,0.8904109589041096
C26,1,0,2021-07-06T15:40:35.902Z,0,0,0,1,0,0,0.48287671232876705
C27,0,1,2021-07-06T15:40:35.908Z,0,0,0,0,0,1,0.9205479452054794
C28,1,0,2021-07-06T15:40:35.912Z,0,1,0,0,0,0,0.3253424657534246
C29,1,0,2021-07-06T15:40:35.913Z,1,0,0,0,0,0,0.2938356164383561
C30,0,0,2021-07-06T15:40:35.918Z,1,0,0,0,0,0,0.6458904109589041
C31,1,1,2021-07-06T15:40:35.920Z,0,1,0,0,0,0,0.048630136986301364
C32,0,0,2021-07-06T15:40:35.924Z,0,1,0,0,0,0,0.9349315068493151
