product_id,event_time,category_baby_food_formula,category_baking_ingredients,category_candy_chocolate,category_chips_pretzels,category_cleaning_products,category_coffee,category_cookies_cakes,category_crackers,category_energy_granola_bars,category_frozen_meals,category_hair_care,category_ice_cream_ice,category_juice_nectars,category_packaged_cheese,category_refrigerated,category_soup_broth_bouillon,category_spices_seasonings,category_tea,category_vitamins_supplements,category_yogurt
P1,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P2,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P3,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P4,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P5,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P6,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P7,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P8,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P9,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P10,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P11,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P12,2021-07-06T15:40:51.154Z,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P13,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P14,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P15,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P16,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P17,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P18,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P19,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P20,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P21,2021-07-06T15:40:51.154Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P22,2021-07-06T15:40:51.154Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P23,2021-07-06T15:40:51.154Z,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P24,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P25,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P26,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P27,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P28,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P29,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P30,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P31,2021-07-06T15:40:51.154Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P32,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P33,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P34,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P35,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P36,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P37,2021-07-06T15:40:51.154Z,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P38,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P39,2021-07-06T15:40:51.154Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P40,2021-07-06T15:40:51.154Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
