product_name,product_category,product_id,event_time
chocolate sandwich cookies,cookies cakes,P1,2021-07-06T15:40:51.154Z
all-seasons salt,spices seasonings,P2,2021-07-06T15:40:51.154Z
robust golden unsweetened oolong tea,tea,P3,2021-07-06T15:40:51.154Z
smart ones classic favorites mini rigatoni with vodka cream sauce,frozen meals,P4,2021-07-06T15:40:51.154Z
pure coconut water with orange,juice nectars,P5,2021-07-06T15:40:51.154Z
light strawberry blueberry yogurt,yogurt,P6,2021-07-06T15:40:51.154Z
peach mango juice,refrigerated,P7,2021-07-06T15:40:51.154Z
pomegranate cranberry & aloe vera enrich drink,juice nectars,P8,2021-07-06T15:40:51.154Z
tri-vi-sol® vitamins a-c-and d supplement drops for infants,vitamins supplements,P9,2021-07-06T15:40:51.154Z
salted caramel lean protein & fiber bar,energy granola bars,P10,2021-07-06T15:40:51.154Z
"three cheese ziti, marinara with meatballs",frozen meals,P11,2021-07-06T15:40:51.154Z
nacho cheese white bean chips,chips pretzels,P12,2021-07-06T15:40:51.154Z
traditional lasagna with meat sauce savory italian recipes,frozen meals,P13,2021-07-06T15:40:51.154Z
noodle soup mix with chicken broth,soup broth bouillon,P14,2021-07-06T15:40:51.154Z
organic sourdough einkorn crackers rosemary,crackers,P15,2021-07-06T15:40:51.154Z
biotin 1000 mcg,vitamins supplements,P16,2021-07-06T15:40:51.154Z
sa extra hold mousse hair styling,hair care,P17,2021-07-06T15:40:51.154Z
whole leaf pure aloe with lemon juice,juice nectars,P18,2021-07-06T15:40:51.154Z
lasting color shampoo,hair care,P19,2021-07-06T15:40:51.154Z
ramen noodles soup chicken mushroom flavor,soup broth bouillon,P20,2021-07-06T15:40:51.154Z
banana & sweet potato organic teething wafers,baby food formula,P21,2021-07-06T15:40:51.154Z
autumn vegetable & turkey dinner with lil' bits purees dinner,baby food formula,P22,2021-07-06T15:40:51.154Z
vanilla with almond milk iced coffee,coffee,P23,2021-07-06T15:40:51.154Z
coconut chocolate chip energy bar,energy granola bars,P24,2021-07-06T15:40:51.154Z
nutter butter cookie bites go-pak,cookies cakes,P25,2021-07-06T15:40:51.154Z
blakes chicken parmesan dinner,frozen meals,P26,2021-07-06T15:40:51.154Z
all natural 100% apple juice,juice nectars,P27,2021-07-06T15:40:51.154Z
classics earl grey tea,tea,P28,2021-07-06T15:40:51.154Z
probiotics high potency capsules,vitamins supplements,P29,2021-07-06T15:40:51.154Z
kind prenatal once daily,vitamins supplements,P30,2021-07-06T15:40:51.154Z
organic blueberry blitz fruit & veggie smoothie mashups,baby food formula,P31,2021-07-06T15:40:51.154Z
organic chamomile lemon tea,tea,P32,2021-07-06T15:40:51.154Z
peanut butter & strawberry jam sandwich,frozen meals,P33,2021-07-06T15:40:51.154Z
danish butter cookies,cookies cakes,P34,2021-07-06T15:40:51.154Z
sprouted kale cracker,crackers,P35,2021-07-06T15:40:51.154Z
high fiber tomato basil soup,soup broth bouillon,P36,2021-07-06T15:40:51.154Z
organic yummy tummy maple & brown sugar instant oatmeal,baby food formula,P37,2021-07-06T15:40:51.154Z
light savory beef barley vegetable soup,soup broth bouillon,P38,2021-07-06T15:40:51.154Z
sharp cheddar,packaged cheese,P39,2021-07-06T15:40:51.154Z
sun cups dark chocolate,candy chocolate,P40,2021-07-06T15:40:51.154Z
traditional chicken & orzo with lemon soup,soup broth bouillon,P41,2021-07-06T15:40:51.154Z
vanilla milk chocolate almond ice cream bars multi-pack,ice cream ice,P42,2021-07-06T15:40:51.154Z
yogurt strawberry pomegranate,yogurt,P43,2021-07-06T15:40:51.154Z
simple,candy chocolate,P44,2021-07-06T15:40:51.154Z
chips onion chipotle garlic,chips pretzels,P45,2021-07-06T15:40:51.154Z
restaurant style organic chia & quinoa tortilla chips,chips pretzels,P46,2021-07-06T15:40:51.154Z
coarse grind garlic powder & parsley blend,spices seasonings,P47,2021-07-06T15:40:51.154Z
traditional water crackers,crackers,P48,2021-07-06T15:40:51.154Z
"calcium adult gummy vitamins, orange cherry & strawberry",vitamins supplements,P49,2021-07-06T15:40:51.154Z
peanut butter cacao quinoa clusters,energy granola bars,P50,2021-07-06T15:40:51.154Z
garlic parmesan pita bread chips,chips pretzels,P51,2021-07-06T15:40:51.154Z
halves & pieces walnuts,baking ingredients,P52,2021-07-06T15:40:51.154Z
extra sharp cheddar cheese,packaged cheese,P53,2021-07-06T15:40:51.154Z
single herbs ginkgo leaf dietary supplement,vitamins supplements,P54,2021-07-06T15:40:51.154Z
gluten free all natural chocolate chip cookies,cookies cakes,P55,2021-07-06T15:40:51.154Z
citrus terere yerba mate,tea,P56,2021-07-06T15:40:51.154Z
simply beyond black bean tortilla chips,chips pretzels,P57,2021-07-06T15:40:51.155Z
cookie dough performance energy,energy granola bars,P58,2021-07-06T15:40:51.155Z
kisses milk chocolate candy,candy chocolate,P59,2021-07-06T15:40:51.155Z
chicken nugget meal,frozen meals,P60,2021-07-06T15:40:51.155Z
classic culinary low sodium vegetable broth,soup broth bouillon,P61,2021-07-06T15:40:51.155Z
fruitwater® strawberry kiwi sparkling water,juice nectars,P62,2021-07-06T15:40:51.155Z
cold brew coffee tahitian vanilla,coffee,P63,2021-07-06T15:40:51.155Z
sloppy joe,frozen meals,P64,2021-07-06T15:40:51.155Z
spinach & feta pierogi,frozen meals,P65,2021-07-06T15:40:51.155Z
chocolate mint cookie crunch nutrition bar,energy granola bars,P66,2021-07-06T15:40:51.155Z
roasted vegetable soufflé,frozen meals,P67,2021-07-06T15:40:51.155Z
minis candy bars,candy chocolate,P68,2021-07-06T15:40:51.155Z
organic blue corn sea salt tortilla chips,chips pretzels,P69,2021-07-06T15:40:51.155Z
tapatio salsa picante hot sauce tortilla chips,chips pretzels,P70,2021-07-06T15:40:51.155Z
argan oil of morocco renewing weightless healing dry oil hair oil,hair care,P71,2021-07-06T15:40:51.155Z
cayenne lemonade made with raw tristate honey,refrigerated,P72,2021-07-06T15:40:51.155Z
foaming hand soap kid watermelon,cleaning products,P73,2021-07-06T15:40:51.155Z
3 seed blue corn dipping chips,chips pretzels,P74,2021-07-06T15:40:51.155Z
