order_id,customer_id,product_id,purchase_amount,is_reordered,purchased_on,event_time
O5,C5806,P12940,6.37,1,2021-01-26 22:53:32,2021-07-06T15:40:51.668Z
O14,C9388,P14913,46.09,0,2021-01-21 16:29:08,2021-07-06T15:40:51.669Z
O16,C2920,P6641,87.69,0,2021-01-19 18:51:57,2021-07-06T15:40:51.669Z
O53,C129,P7513,54.11,1,2021-01-14 09:48:51,2021-07-06T15:40:51.672Z
O55,C4141,P1381,71.22,0,2021-01-02 13:10:24,2021-07-06T15:40:51.672Z
O70,C4706,P2517,49.3,1,2021-01-12 11:55:58,2021-07-06T15:40:51.673Z
O72,C7274,P3963,96.97,1,2021-01-22 09:32:58,2021-07-06T15:40:51.673Z
O90,C759,P690,73.23,1,2021-01-05 01:34:13,2021-07-06T15:40:51.674Z
O106,C1730,P11830,75.36,1,2021-01-04 02:12:21,2021-07-06T15:40:51.675Z
O124,C9889,P12116,62.82,1,2021-01-29 15:06:04,2021-07-06T15:40:51.676Z
O164,C6433,P12097,73.7,1,2021-01-06 05:27:32,2021-07-06T15:40:51.679Z
O165,C404,P6636,75.21,1,2021-01-15 01:50:28,2021-07-06T15:40:51.679Z
O176,C140,P15364,91.66,1,2021-01-16 06:34:17,2021-07-06T15:40:51.680Z
O185,C4552,P11965,72.93,0,2021-01-16 05:57:16,2021-07-06T15:40:51.680Z
O188,C2321,P6150,21.95,0,2021-01-26 07:19:27,2021-07-06T15:40:51.680Z
O198,C2285,P14341,99.25,0,2021-01-28 02:12:32,2021-07-06T15:40:51.681Z
O202,C20,P4662,45.53,1,2021-01-22 23:27:36,2021-07-06T15:40:51.681Z
O205,C8733,P288,38.37,0,2021-01-31 04:32:39,2021-07-06T15:40:51.681Z
O218,C9179,P14834,3.89,1,2021-01-08 11:34:01,2021-07-06T15:40:51.682Z
O238,C2453,P8986,35.8,1,2021-01-30 02:12:45,2021-07-06T15:40:51.683Z
O249,C4723,P467,18.65,1,2021-01-25 10:06:06,2021-07-06T15:40:51.684Z
O263,C2276,P6633,16.19,1,2021-01-07 21:43:36,2021-07-06T15:40:51.685Z
O268,C8579,P444,42.42,1,2021-01-17 21:09:04,2021-07-06T15:40:51.685Z
O272,C4980,P11314,90.14,0,2021-01-19 20:22:02,2021-07-06T15:40:51.685Z
O277,C9967,P8541,22.02,1,2021-01-09 09:25:16,2021-07-06T15:40:51.686Z
O286,C6296,P6705,31.14,1,2021-01-19 23:37:17,2021-07-06T15:40:51.686Z
O291,C3744,P2438,89.87,0,2021-01-18 01:24:05,2021-07-06T15:40:51.687Z
O368,C3503,P12293,97.88,1,2021-01-14 14:34:05,2021-07-06T15:40:51.692Z
O374,C1981,P12391,63.92,1,2021-01-27 18:43:22,2021-07-06T15:40:51.693Z
O405,C9340,P10405,45.93,0,2021-01-13 16:16:42,2021-07-06T15:40:51.695Z
O409,C837,P15930,49.93,1,2021-01-29 23:09:28,2021-07-06T15:40:51.695Z
O427,C5468,P11829,27.8,0,2021-01-29 05:21:50,2021-07-06T15:40:51.696Z
O463,C2442,P14656,22.26,0,2021-01-10 03:30:54,2021-07-06T15:40:51.698Z
O467,C133,P3372,8.12,0,2021-01-30 15:32:15,2021-07-06T15:40:51.699Z
O471,C9480,P7689,12.73,1,2021-01-07 18:06:17,2021-07-06T15:40:51.699Z
O488,C1399,P3879,38.63,1,2021-01-07 19:00:49,2021-07-06T15:40:51.700Z
O537,C2068,P4036,68.56,1,2021-01-04 19:00:17,2021-07-06T15:40:51.703Z
O555,C1410,P395,96.11,1,2021-01-29 14:26:05,2021-07-06T15:40:51.704Z
O561,C3351,P3130,66.86,1,2021-01-02 06:55:21,2021-07-06T15:40:51.704Z
O611,C2365,P9473,58.28,1,2021-01-12 11:28:09,2021-07-06T15:40:51.708Z
O617,C2050,P12478,70.25,1,2021-01-10 20:55:01,2021-07-06T15:40:51.708Z
O647,C2239,P4894,91.05,1,2021-01-14 20:45:19,2021-07-06T15:40:51.710Z
O652,C8470,P715,29.7,0,2021-01-19 20:10:30,2021-07-06T15:40:51.710Z
O655,C3016,P725,95.39,0,2021-01-03 21:27:15,2021-07-06T15:40:51.710Z
O667,C2838,P2603,34.63,1,2021-01-23 10:17:05,2021-07-06T15:40:51.711Z
O694,C4965,P811,31.32,1,2021-01-26 04:23:22,2021-07-06T15:40:51.759Z
O705,C9757,P6621,83.52,1,2021-01-01 13:08:51,2021-07-06T15:40:51.760Z
O710,C1680,P7145,12.1,1,2021-01-14 17:05:47,2021-07-06T15:40:51.760Z
O717,C6500,P14148,68.47,1,2021-01-21 08:56:07,2021-07-06T15:40:51.760Z
O723,C3902,P3549,21.35,1,2021-01-29 04:01:16,2021-07-06T15:40:51.761Z
O730,C2327,P11872,14.78,0,2021-01-31 08:02:43,2021-07-06T15:40:51.761Z
O747,C4921,P15733,6.61,1,2021-01-17 05:04:45,2021-07-06T15:40:51.762Z
O758,C9353,P15245,73.24,0,2021-01-06 19:22:37,2021-07-06T15:40:51.763Z
O769,C360,P194,93.99,1,2021-01-12 20:13:10,2021-07-06T15:40:51.763Z
O777,C5853,P7299,37.64,1,2021-01-20 06:52:12,2021-07-06T15:40:51.764Z
O849,C3377,P4783,65.35,1,2021-01-30 07:38:23,2021-07-06T15:40:51.768Z
O854,C470,P10813,53.87,0,2021-01-30 08:28:25,2021-07-06T15:40:51.769Z
O865,C9360,P7467,38.56,1,2021-01-15 11:24:02,2021-07-06T15:40:51.769Z
O873,C9804,P2248,63.33,0,2021-01-19 02:21:09,2021-07-06T15:40:51.770Z
O884,C724,P1537,92.21,1,2021-01-20 07:02:54,2021-07-06T15:40:51.770Z
O890,C1247,P4557,96.13,0,2021-01-21 08:24:49,2021-07-06T15:40:51.771Z
O893,C9023,P2313,63.19,1,2021-01-13 07:09:56,2021-07-06T15:40:51.771Z
O927,C629,P1236,50.65,1,2021-01-16 15:52:41,2021-07-06T15:40:51.773Z
O929,C3873,P7929,93.63,1,2021-01-20 03:37:28,2021-07-06T15:40:51.773Z
O940,C6375,P10011,20.57,1,2021-01-06 16:57:34,2021-07-06T15:40:51.774Z
O953,C918,P1280,4.27,1,2021-01-24 14:16:38,2021-07-06T15:40:51.775Z
O961,C1801,P6078,84.01,1,2021-01-23 20:59:32,2021-07-06T15:40:51.775Z
O967,C4164,P13855,85.55,1,2021-01-03 00:03:33,2021-07-06T15:40:51.776Z
O995,C7198,P980,85.57,1,2021-01-31 19:21:23,2021-07-06T15:40:51.777Z
O1023,C8864,P5964,40.1,1,2021-01-04 12:05:50,2021-07-06T15:40:51.780Z
O1057,C869,P10130,57.61,1,2021-01-06 05:55:55,2021-07-06T15:40:51.783Z
O1059,C8103,P1968,45.97,0,2021-01-30 16:02:42,2021-07-06T15:40:51.783Z
O1065,C9255,P1803,38.09,1,2021-01-13 10:12:55,2021-07-06T15:40:51.783Z
O1074,C7460,P7627,91.86,1,2021-01-24 21:13:32,2021-07-06T15:40:51.784Z
O1116,C3659,P1786,26.75,1,2021-01-05 10:20:09,2021-07-06T15:40:51.786Z
O1154,C5299,P14741,36.68,0,2021-01-05 08:05:01,2021-07-06T15:40:51.789Z
O1163,C8737,P580,46.4,1,2021-01-09 17:03:56,2021-07-06T15:40:51.789Z
O1164,C8502,P11447,53.01,0,2021-01-04 21:27:28,2021-07-06T15:40:51.789Z
O1173,C7612,P2459,57.29,1,2021-01-08 16:14:03,2021-07-06T15:40:51.790Z
O1185,C2292,P1128,89.08,1,2021-01-09 03:19:25,2021-07-06T15:40:51.791Z
O1189,C4428,P3542,88.28,1,2021-01-21 07:34:16,2021-07-06T15:40:51.791Z
O1190,C5055,P15378,77.8,1,2021-01-22 01:57:05,2021-07-06T15:40:51.791Z
O1191,C1222,P7386,31.47,1,2021-01-25 16:11:15,2021-07-06T15:40:51.791Z
O1216,C7984,P2766,82.9,0,2021-01-21 09:50:17,2021-07-06T15:40:51.792Z
O1223,C2277,P1753,50.18,0,2021-01-22 05:59:54,2021-07-06T15:40:51.793Z
O1228,C2425,P16483,46.94,1,2021-01-08 10:48:19,2021-07-06T15:40:51.793Z
O1232,C3167,P14125,33.26,1,2021-01-30 23:13:13,2021-07-06T15:40:51.793Z
O1233,C2451,P8355,67.1,1,2021-01-16 22:16:20,2021-07-06T15:40:51.793Z
O1253,C6183,P15570,89.55,1,2021-01-26 08:56:35,2021-07-06T15:40:51.795Z
O1273,C766,P1895,3.39,0,2021-01-21 22:20:29,2021-07-06T15:40:51.796Z
O1303,C8135,P47,17.6,1,2021-01-31 17:57:13,2021-07-06T15:40:51.798Z
O1366,C9011,P7084,93.78,1,2021-01-03 14:27:40,2021-07-06T15:40:51.802Z
O1369,C4020,P14426,5.6,0,2021-01-31 00:50:37,2021-07-06T15:40:51.802Z
O1373,C4489,P5529,47.68,1,2021-01-04 14:41:28,2021-07-06T15:40:51.802Z
O1394,C7151,P10244,23.62,1,2021-01-11 05:15:42,2021-07-06T15:40:51.803Z
O1422,C3087,P7438,19.01,1,2021-01-29 23:20:51,2021-07-06T15:40:51.805Z
O1428,C2836,P16178,10.16,0,2021-01-28 07:04:46,2021-07-06T15:40:51.805Z
O1455,C7044,P10127,67.77,1,2021-01-17 19:34:45,2021-07-06T15:40:51.807Z
O1467,C3550,P7203,15.4,1,2021-01-10 06:40:07,2021-07-06T15:40:51.808Z
O1491,C1652,P8874,12.6,1,2021-01-18 13:19:28,2021-07-06T15:40:51.809Z
O1501,C7154,P7677,67.12,1,2021-01-17 19:57:31,2021-07-06T15:40:51.810Z
O1543,C4967,P7035,64.24,1,2021-01-06 20:09:32,2021-07-06T15:40:51.813Z
O1557,C969,P13253,6.27,1,2021-01-25 20:13:33,2021-07-06T15:40:51.813Z
O1558,C8523,P13477,84.35,1,2021-01-11 17:19:24,2021-07-06T15:40:51.813Z
O1599,C7015,P15227,78.02,0,2021-01-02 00:16:51,2021-07-06T15:40:51.816Z
O1658,C686,P10806,55.77,1,2021-01-11 12:25:18,2021-07-06T15:40:51.820Z
O1703,C4974,P12204,38.29,0,2021-01-29 19:17:10,2021-07-06T15:40:51.823Z
O1704,C5019,P2839,58.7,1,2021-01-18 03:47:20,2021-07-06T15:40:51.823Z
O1708,C7360,P6083,43.27,1,2021-01-31 20:12:44,2021-07-06T15:40:51.823Z
O1745,C9345,P9984,16.4,1,2021-01-08 13:12:01,2021-07-06T15:40:51.825Z
O1755,C8917,P7726,88.52,0,2021-01-28 02:08:54,2021-07-06T15:40:51.826Z
O1768,C1577,P8743,6.36,0,2021-01-22 15:16:57,2021-07-06T15:40:51.827Z
O1781,C4607,P14205,92.36,0,2021-01-18 06:26:16,2021-07-06T15:40:51.827Z
O1821,C6179,P1955,2.82,1,2021-01-30 12:43:22,2021-07-06T15:40:51.830Z
